Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
BuzzSaw,Dreamworld,Steel,65.3,151.6,,492.2,5,Yes
Bumeran,Parque Diversiones,Steel,47,116.5,,935,18,Yes
Boss,Six Flags St. Louis,Wood,66.3,122,15,551,,No
Boomerang,Six Flags St. Louis,Steel,47,116.5,,935,18,Yes
Blue Streak,Cedar Point,Wood,4,78,72,2558,15,No
blue fire Megacoaster,Europa Park,Steel,62.1,124.7,,3464.6,15,Yes
Big One,Big Sheep,Steel,26.8,48.3,,1194.3,6,No
Big Air,E-DA Theme Park,Steel,67.1,29.3,,541.3,,No
Beast,Paramount's Kings Island,Wood,64.8,15,141,74,22,No
Batman: The Ride,Six Flags Fiesta Texas,Steel,38,12,54,119,,No
Batman Knight Flight,Six Flags Worlds of Adventure,Steel,65,157,148,421,,Yes
Banshee,Kings Island,Steel,68,167,15,4124,16,Yes
Bad Trip,Europark,Steel,29.1,45.9,,1377.9,,No
Astro Express,Planet Infiniti,Steel,29.1,34.8,,99.8,,Yes
Apollo's Chariot,Busch Gardens Williamsburg,Steel,73,17,21,4882,135,No
Apocalypse the Ride,Six Flags Magic Mountain,Wood,5.1,95,87.3,2877,18,No
Apocalypse,Six Flags America,Steel,55,1,9,29,12,Yes
Apocalypse,Lunapark,Steel,4,75,68,24,,Yes
Anubis: The Ride,Plopsaland De Panne,Steel,55.9,111.6,,1968.5,,Yes
American Eagle,Six Flags Great America,Wood,66,127,147,465,143,No
Alpengeist,Busch Gardens Williamsburg,Steel,67,195,17,3828,19,Yes
Aladdin Coaster,Sinbad Land,Steel,29.1,42.7,,1377.9,135,No
Afterburner,Fun Spot,Steel,45,56,47,635,66,Yes
Acrobat,Nagashima Spa Land,Steel,55.9,141.1,,3349.8,18,Yes
Abyss,Adventure World,Steel,52.8,98.4,1,266.9,12,Yes
